probe_id,GI-78,GI-91,GI-94,GI-95,GI-100,GI-103,GI-113,GI-121,GI-135,GI-142,GC-92,GC-94,GC-95,GC-109,GC-117,GC-121,GC-131,GC-133,GC-136,GC-138
ASHGA5P000001,8.194451,7.7468057,8.526166,7.784593,7.963568,7.679144,7.9424367,8.424158,8.526166,8.265787,6.7905297,6.999938,8.010285,7.085003,6.5558915,7.5782647,7.2342486,7.5216494,6.6263385,7.85898
ASHGA5P000009,4.4525576,4.8709264,7.2513633,3.7133095,3.3908584,3.9577465,3.211623,6.1465254,6.0112576,4.6802373,4.6904554,5.554138,5.954277,4.608466,5.350019,4.7839637,4.4743385,3.5367727,5.3448496,5.0800633
ASHGA5P000016,6.237222,5.6291885,7.0801883,5.970618,6.7548513,5.8495283,6.838439,6.9730873,7.1832695,6.301965,5.073481,5.3448496,6.302841,4.9022965,5.249682,5.7561483,5.1966114,5.2143054,5.3460307,5.884362
ASHGA5P000021,4.5929494,4.6731286,5.8517876,3.5321786,4.6852226,3.6599455,4.7638617,5.0930204,4.8943653,5.150678,3.839413,4.87,5.5715094,4.534174,4.918477,4.966796,5.387083,4.834786,4.6916986,4.9101424
ASHGA5P000024,6.9623623,6.9042044,7.2769437,6.3243537,6.882939,6.345578,6.8602853,7.119398,7.066861,7.287794,5.386445,5.857091,7.399367,5.672262,5.354183,5.8659053,5.01884,5.9795804,5.378907,5.912436
ASHGA5P000026,7.836925,7.0726047,6.636427,7.193811,7.746302,7.216081,7.875777,5.8887167,6.0155745,7.8487263,5.9060807,5.4586754,7.539989,5.7541375,5.3029118,6.8710704,4.86871,3.8077557,5.503654,7.0449743
ASHGA5P000028,8.117971,7.668048,5.6098847,7.555623,8.249599,7.5348277,8.241619,9.169445,9.2614765,8.067067,7.173705,6.0883713,6.2653275,7.175476,5.8742967,5.582619,5.762051,5.85861,5.6981473,5.6096888
ASHGA5P000029,10.774472,10.145371,11.041437,10.163434,10.675262,10.109586,10.688624,11.066416,11.120114,10.794769,10.58045,10.160482,11.391266,10.461456,10.430287,11.248657,11.042906,11.044367,10.474055,11.236464
ASHGA5P000032,17.156162,16.592457,16.956799,16.728386,17.212072,16.785076,17.1707,16.980152,16.968103,17.156162,16.88463,16.457283,16.935633,16.863039,16.536207,16.991837,16.785076,16.895315,16.560154,16.935633
ASHGA5P000035,5.6375513,5.6437206,6.086243,4.6999593,4.820227,4.796668,4.8090315,5.7470126,5.326126,5.8694034,3.6096337,5.028867,6.1651597,4.015244,3.6709063,4.247622,4.1506844,3.7551224,4.3419013,4.0514693
ASHGA5P000037,5.877071,6.1548405,6.1714377,5.854939,5.3217654,5.661629,5.0620494,4.851716,4.55445,6.0369325,6.385645,5.7232466,5.708957,6.4045258,5.3679004,3.237155,6.4405413,4.765278,5.342585,3.1750336
ASHGA5P000039,9.962809,8.757718,9.719469,8.693621,10.046699,8.6059,10.166535,9.252899,9.397617,10.031325,8.842129,6.7651105,9.7772875,8.897159,6.7761016,9.792437,8.748335,6.4289947,6.699334,9.732742
ASHGA5P000047,8.360434,7.839925,8.067751,8.078378,8.359404,8.054242,8.363783,7.899044,7.8232207,8.338033,7.1351833,6.5274315,7.814473,7.378622,6.448492,7.13685,6.4913163,5.075496,6.4426794,6.9563584
ASHGA5P000051,5.7063537,5.4478726,5.4091754,4.749284,3.9381459,4.680612,4.144902,4.4201717,4.162486,5.3441057,2.6110768,4.429338,5.654085,2.5624943,3.7861965,4.0943556,3.6935756,4.301367,3.4815423,4.446263
ASHGA5P000053,10.25304,8.655122,8.446161,8.830496,10.299907,8.849882,10.212912,8.327873,8.148044,10.173882,9.331585,8.7146845,10.027958,9.278484,8.473964,10.013156,7.6234326,8.5754,8.520828,10.042687
ASHGA5P000054,8.926777,8.992591,9.073027,8.893565,8.806531,8.907647,8.814577,8.934903,8.90498,8.932563,7.712174,7.3441215,9.054212,7.8054357,7.4699535,8.88821,8.345148,6.610151,7.4366655,8.817735
ASHGA5P000055,6.7149687,5.2726135,5.592698,4.8040605,6.6445227,4.8814654,6.6770644,3.2666981,4.050185,6.736448,5.114147,4.5369234,4.858222,5.0020905,3.6074088,4.3973007,4.069376,4.8831925,3.5081832,4.2457266
